order_id,order_date,region,product,revenue,cost,quantity
1001,2024-01-03,USA,Widget A,"$1,200.00",800,12
1002,2024-01-05,usa ,Widget B,950.50,600,9
1003,2024-01-10,EU,Widget A,"$2,300.00",1500,23
1004,2024-01-12,EU ,Widget C,430.00,300,4
1005,2024-01-15,APAC,Widget B,,700,10
1006,2024-01-18,USA,Widget A,"$1,150.00",790,11
1007,2024-01-20,EU,Widget C,410.00,290,4
1008,2024-01-22,APAC,Widget A,"$9,800.00",850,13
1009,2024-01-25,USA,Widget B,980.00,610,9
1009,2024-01-25,USA,Widget B,980.00,610,9
1010,2024-01-28,EU,Widget A,"$1,180.00",805,12
1011,2024-02-02,APAC,Widget C,470.00,310,5
1012,2024-02-05,USA,Widget A,"$1,220.00",810,12
1013,2024-02-08,EU,Widget B,990.00,615,9
1014,2024-02-11,APAC,Widget A,"$1,190.00",800,12
1015,2024-02-14,USA,Widget C,455.00,305,4
1016,2024-02-17,EU,Widget A,"$1,205.00",802,12
1017,2024-02-20,APAC,Widget B,970.00,605,9
1018,2024-02-23,USA,Widget A,"$1,175.00",795,11
1019,2024-02-26,EU,Widget C,440.00,300,4
